ID,WLB1,WLB2,WLB3,WLB4,WLB5,WLB6,EE1,EE2,EE3,EE4,EE5,EE6,COMP1,COMP2,COMP3,COMP4,COMP5,COMP6,JC1,JC2,JC3,JC4,JC5,JC6,TI1,TI2,TI3,TI4,TI5,TI6
R046,4,4,3,4,4,4,4,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4
R047,5,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3
R048,4,3,3,4,4,4,3,3,4,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,3,3,4
R049,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,4,4,4,4,3,4,4,3,3,4,4,4
R050,5,5,5,5,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4
R051,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,5,4,4,4,4,5,3,3,3,3,3,3
R052,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
R053,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
R054,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,2,2,3,3,4,3,3,3,3,4,4,4,4,4,4
R055,3,4,3,4,3,3,4,4,4,4,4,4,4,5,4,4,4,5,3,3,4,4,3,4,3,3,3,3,3,3
R056,4,4,4,4,4,4,2,2,3,3,2,2,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,5
R057,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3
R058,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3
R059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,4
R060,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,3,3,3,3,3,3
R061,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3
R062,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,3,3,4,4,3,3,3,3,3
R063,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4
R064,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,2
R065,4,5,4,4,5,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3
R066,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3
R067,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,2,3,3,3
R068,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3
R069,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,4,4,3,3,4,3,3,4,4,4,5,4,5,5
R070,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
R071,4,4,4,4,4,4,4,4,4,4,3,4,3,2,2,3,2,3,3,3,3,3,3,3,4,3,3,3,3,4
R072,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
R073,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4
R074,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3,3
R075,3,3,2,2,2,2,3,2,3,3,3,3,3,2,2,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4
R076,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
R077,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4
R078,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4
R079,3,3,3,3,3,3,3,4,3,3,4,3,3,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3
R080,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3
R081,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,3,3
R082,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,5,4,4,4,5,4,3,3,4,3,4
R083,4,5,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
R084,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4
R085,3,3,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,4,4,4,3,4,3,3,4,3,3,4
R086,3,3,3,3,3,3,4,4,4,4,5,4,3,4,3,3,3,3,4,4,5,4,4,5,3,3,3,3,4,3
R087,3,3,3,3,3,3,5,4,4,4,4,4,3,3,4,3,4,3,3,3,3,4,3,4,4,4,3,3,4,4
R088,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4
R089,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,3
R090,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4
R091,4,5,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3
R092,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,5,5,5
R093,4,4,3,4,4,3,5,4,4,5,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2
R094,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4
R095,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4
R096,4,4,4,4,4,4,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
R097,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3
R098,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,3,4,4,4,3,4
R099,3,4,4,4,4,4,3,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
R100,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4
R101,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,3,3,3
R102,2,2,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R103,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,4
R104,5,5,4,5,5,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4
R105,3,4,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4
R106,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,5,5,5,5,4,4,3,2,3,3,3,3
R107,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4
R108,3,2,3,2,2,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4
R109,3,4,3,4,4,4,3,2,2,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,3
R110,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,3,4,3,3,3,3,3,3
R111,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3
R112,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3
R113,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4
R114,4,4,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
R115,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,5,5,5,4,3,3,4,4,4,3,3,3,3,3,3
R116,4,4,4,4,3,4,4,4,4,5,5,5,3,3,4,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3
R117,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,5,4,4
R118,3,4,3,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
R119,5,4,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,3,3,4,3,3,4
R120,3,2,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,3,4,3
R121,3,3,3,4,4,3,3,3,3,3,4,3,5,4,5,4,4,5,4,3,3,3,3,4,3,4,3,3,3,3
R122,3,3,4,3,3,3,4,4,4,3,4,4,3,3,4,3,4,3,4,4,4,4,4,4,3,2,2,3,2,3
R123,4,4,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3
R124,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3
R125,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3
R126,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3,3,3,3
R127,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3,3,2,3,3,3,3
R128,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3,3,4
R129,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4
R130,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,4,4,4,4,4,5
R131,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,4,5,5,5,4,4,4,4,3,4
R132,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,3,4,3,4,3,3,4,4,4,3,3,3,3,3,3
R133,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3
R134,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,4,3,3,3
R135,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
R136,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4
R137,3,3,4,3,3,3,5,5,5,4,4,5,3,4,4,4,3,4,4,4,5,5,4,4,4,4,4,4,5,4
R138,5,4,4,5,4,4,3,3,4,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
R139,4,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,2,2,2
R140,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4
R141,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3
R142,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
R143,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,3,4
R144,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,2,2,3,2,2,3,3,3,3,3,3
R145,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
R146,3,3,3,4,4,3,3,3,3,3,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
R147,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
R148,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3
R149,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,4,3,4,4,3,3,3,3
R150,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
R151,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,5,3,3,3,3,3,3,4,4,4,4,4,4
R152,4,3,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3
R153,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,4,4,4,3,4
R154,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
R155,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2
R156,4,4,4,3,4,4,3,4,3,4,4,4,3,3,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,3
R157,3,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
R158,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
R159,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3,4,4
R160,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3
R161,4,3,4,4,4,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,5,4,4,4,4,4
R162,3,4,3,3,4,4,3,3,4,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
R163,4,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4
R164,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
R165,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,4,4,4,4,3,3
R166,3,3,3,3,3,3,2,2,3,2,2,2,4,4,4,3,4,4,4,4,5,5,5,5,3,3,3,3,3,3
R167,4,4,4,5,4,4,4,3,4,3,4,3,5,5,4,4,4,5,3,3,3,3,4,3,3,3,3,3,3,3
R168,3,3,3,3,3,3,5,5,4,4,5,5,4,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4
R169,3,4,4,3,4,4,3,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
R170,3,4,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3
R171,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
R172,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,3,3,3,3,3,3,3,4,4,3,4,4
R173,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,2,2,2,2,2,2,4,3,3,3,3,3
R174,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,3,3,3,3,3,3,4,4,4,4,4,4
R175,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3
R176,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,2,2,2,2,2,2
R177,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4
R178,3,4,3,3,3,3,4,4,3,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4
R179,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
R180,4,4,4,4,3,4,3,3,4,4,4,3,3,2,2,3,2,2,3,3,3,3,3,3,4,3,3,3,3,4
R181,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3
R182,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
R183,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
R184,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4
R185,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
R186,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,3
R187,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,5,5,4,4,3,4,4,3
R188,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3
R189,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R190,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4
R191,4,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,4,5,3,3,3,3,4,3,3,3,3,3,3,3
R192,3,3,3,4,4,4,4,3,4,3,4,4,3,3,3,4,3,4,3,4,4,4,4,3,3,4,4,4,4,4
R193,4,4,3,4,3,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4
R194,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,5,4,3,3,3,3,4,3,3,4,4,4,4,4
R195,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4
R196,2,2,2,2,2,2,4,4,4,4,4,4,3,2,3,3,2,3,3,3,2,3,3,3,4,4,4,4,4,3
R197,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
R198,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3
R199,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,4,5,4,4,4,3,4,4,4
R200,3,4,3,3,4,4,3,3,3,3,3,3,5,5,4,5,4,4,3,4,4,4,4,4,4,4,4,3,3,3
R201,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3
R202,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4
R203,4,5,5,5,5,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,2,3
R204,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,2,3,3,3,3,3
R205,3,3,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3
R206,3,4,3,3,3,3,2,3,3,3,2,2,4,3,3,3,3,3,3,3,3,4,4,3,5,5,4,5,5,5
R207,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,4,3
R208,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
R209,3,4,3,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,3
R210,4,4,4,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3
R211,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4
R212,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3
R213,3,3,3,4,3,3,4,4,4,3,3,4,3,2,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4
R214,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,2,2,2,2,3,2
R215,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,4,5,3,3,3,4,3,3,3,3,3,3,3,3
R216,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,5,5,4,4,4
R217,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,4,4
